PP_rr,PP_wkt_rem,mid_rr,mid_wkt_rem,RR,Win,T2_rrr_1,T2_wkt_rem_1,T2_rrr_2,T2_wkt_rem_2,T2_rrr_3,T2_wkt_rem_3,T2_rrr_4,T2_wkt_rem_4,T2_rrr_5,T2_wkt_rem_5,T2_rrr_6,T2_wkt_rem_6,T2_rrr_7,T2_wkt_rem_7,T2_rrr_8,T2_wkt_rem_8,T2_rrr_9,T2_wkt_rem_9,T2_rrr_10,T2_wkt_rem_10,T2_rrr_11,T2_wkt_rem_11,T2_rrr_12,T2_wkt_rem_12,T2_rrr_13,T2_wkt_rem_13,T2_rrr_14,T2_wkt_rem_14,T2_rrr_15,T2_wkt_rem_15,T2_rrr_16,T2_wkt_rem_16,T2_rrr_17,T2_wkt_rem_17,T2_rrr_18,T2_wkt_rem_18,T2_rrr_19,T2_wkt_rem_19
8.666666666666666,9.0,6.933333333333334,6.0,7.4,1.0,7.7894736842105265,10.0,8.166666666666666,9.0,8.470588235294118,9.0,8.5,8.0,8.6,7.0,8.428571428571429,6.0,8.615384615384615,6.0,9.25,5.0,9.181818181818182,5.0,9.4,5.0,9.88888888888889,5.0,10.0,5.0,11.0,3.0,11.5,3.0,13.2,2.0,15.25,1.0,19.666666666666668,0.0,29.5,0.0,59.0,0.0
4.833333333333333,8.0,6.666666666666667,7.0,7.55,0.0,7.684210526315789,10.0,8.0,9.0,7.9411764705882355,9.0,8.0625,9.0,8.266666666666667,9.0,7.785714285714286,9.0,8.0,9.0,8.166666666666666,9.0,8.636363636363637,8.0,8.4,8.0,8.777777777777779,8.0,9.25,8.0,8.571428571428571,8.0,8.0,8.0,9.2,7.0,9.5,7.0,8.666666666666666,7.0,7.5,7.0,6.0,7.0
6.5,9.0,7.4,7.0,7.45,1.0,7.7368421052631575,10.0,8.11111111111111,9.0,8.176470588235293,8.0,8.4375,8.0,8.533333333333333,7.0,8.857142857142858,7.0,8.461538461538462,7.0,9.083333333333334,7.0,9.454545454545455,6.0,9.7,6.0,10.222222222222221,6.0,10.375,5.0,10.857142857142858,4.0,11.666666666666666,4.0,10.6,4.0,10.75,4.0,12.333333333333334,4.0,16.0,3.0,28.0,2.0
8.833333333333334,10.0,8.466666666666667,8.0,8.95,1.0,9.0,10.0,9.277777777777779,10.0,9.176470588235293,10.0,9.25,9.0,9.4,9.0,10.0,8.0,9.923076923076923,8.0,9.75,8.0,9.181818181818182,8.0,8.9,8.0,9.11111111111111,8.0,9.5,8.0,10.0,7.0,10.5,7.0,9.6,6.0,11.25,4.0,14.666666666666666,1.0,22.0,0.0,44.0,0.0
9.5,10.0,8.8,7.0,8.8,1.0,8.789473684210526,10.0,8.88888888888889,8.0,9.117647058823529,8.0,9.5,6.0,9.733333333333333,6.0,9.928571428571429,6.0,10.23076923076923,6.0,10.916666666666666,5.0,11.545454545454545,4.0,11.6,4.0,12.333333333333334,3.0,13.125,3.0,14.142857142857142,2.0,14.666666666666666,2.0,16.6,2.0,17.25,2.0,22.0,1.0,30.0,1.0,54.0,1.0
10.166666666666666,7.0,6.733333333333333,4.0,5.95,0.0,5.947368421052632,10.0,5.888888888888889,10.0,5.529411764705882,10.0,5.5,10.0,5.666666666666667,10.0,5.642857142857143,10.0,4.461538461538462,10.0,4.416666666666667,10.0,4.454545454545454,10.0,3.5,10.0,3.3333333333333335,10.0,3.125,9.0,1.7142857142857142,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0
4.0,7.0,5.866666666666666,5.0,5.65,0.0,5.7368421052631575,9.0,5.722222222222222,9.0,5.294117647058823,9.0,5.0625,9.0,5.066666666666666,8.0,5.357142857142857,8.0,5.3076923076923075,8.0,5.0,7.0,5.090909090909091,7.0,5.1,7.0,5.666666666666667,5.0,5.25,5.0,5.428571428571429,5.0,6.0,5.0,5.6,5.0,4.0,5.0,0.6666666666666666,5.0,0.0,5.0,0.0,5.0
6.166666666666667,8.0,5.2,3.0,6.495867768595041,0.0,6.368421052631579,10.0,6.388888888888889,9.0,6.705882352941177,9.0,6.75,9.0,6.466666666666667,9.0,6.142857142857143,9.0,6.3076923076923075,9.0,6.5,9.0,6.545454545454546,8.0,6.6,8.0,5.888888888888889,8.0,5.625,8.0,5.714285714285714,7.0,5.833333333333333,7.0,6.6,6.0,7.0,6.0,5.333333333333333,6.0,3.5,6.0,5.0,6.0
6.5,7.0,6.333333333333333,5.0,7.884297520661157,1.0,8.0,9.0,7.611111111111111,9.0,7.529411764705882,9.0,7.5,9.0,7.2,9.0,6.571428571428571,9.0,6.769230769230769,8.0,6.666666666666667,7.0,6.454545454545454,6.0,6.9,6.0,7.333333333333333,5.0,7.25,5.0,7.714285714285714,5.0,7.833333333333333,5.0,8.8,4.0,9.5,3.0,11.333333333333334,2.0,14.0,1.0,28.0,0.0
8.666666666666666,8.0,6.466666666666667,6.0,6.644628099173553,0.0,7.0,10.0,6.888888888888889,10.0,6.705882352941177,10.0,6.1875,9.0,6.2,8.0,6.214285714285714,7.0,6.3076923076923075,7.0,6.5,7.0,6.454545454545454,7.0,6.2,7.0,4.888888888888889,7.0,5.375,7.0,5.571428571428571,7.0,4.333333333333333,7.0,4.6,7.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
5.166666666666667,9.0,7.333333333333333,6.0,7.05,0.0,6.894736842105263,10.0,7.111111111111111,10.0,7.0,10.0,7.1875,9.0,7.533333333333333,9.0,6.785714285714286,9.0,6.769230769230769,8.0,6.416666666666667,8.0,6.636363636363637,8.0,6.6,8.0,7.111111111111111,8.0,6.5,8.0,6.857142857142857,8.0,7.333333333333333,8.0,7.0,8.0,8.25,7.0,9.333333333333334,6.0,11.0,6.0,10.0,5.0
4.166666666666667,8.0,4.866666666666666,4.0,6.05,1.0,6.2105263157894735,8.0,6.222222222222222,8.0,6.529411764705882,8.0,6.1875,8.0,6.066666666666666,8.0,5.928571428571429,8.0,5.846153846153846,8.0,6.0,8.0,6.2727272727272725,8.0,5.4,8.0,5.111111111111111,8.0,5.5,7.0,5.857142857142857,7.0,6.5,6.0,7.4,6.0,6.75,5.0,5.666666666666667,4.0,7.5,3.0,7.0,2.0
7.0,8.0,6.733333333333333,3.0,5.1,0.0,4.842105263157895,10.0,4.777777777777778,10.0,4.705882352941177,10.0,4.8125,10.0,4.666666666666667,10.0,4.714285714285714,10.0,4.461538461538462,10.0,4.5,10.0,4.181818181818182,10.0,4.0,10.0,3.5555555555555554,9.0,3.5,9.0,2.7142857142857144,9.0,2.5,9.0,1.4,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0
8.833333333333334,9.0,6.4,4.0,5.0,0.0,5.2631578947368425,10.0,5.222222222222222,10.0,5.235294117647059,10.0,5.1875,10.0,4.733333333333333,10.0,4.285714285714286,10.0,4.230769230769231,10.0,4.166666666666667,10.0,3.5454545454545454,10.0,3.1,10.0,2.2222222222222223,10.0,2.25,10.0,1.7142857142857142,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
5.333333333333333,9.0,7.066666666666666,9.0,7.65,0.0,8.052631578947368,10.0,7.833333333333333,10.0,8.0,10.0,7.625,10.0,7.0,10.0,6.642857142857143,10.0,6.076923076923077,10.0,6.25,10.0,5.818181818181818,10.0,5.6,10.0,5.555555555555555,9.0,5.625,9.0,6.142857142857143,9.0,6.0,8.0,5.6,8.0,5.0,8.0,1.3333333333333333,8.0,0.0,8.0,0.0,8.0
6.833333333333333,10.0,7.533333333333333,8.0,9.074380165289256,1.0,9.157894736842104,10.0,9.166666666666666,10.0,9.588235294117647,9.0,9.8125,8.0,10.2,8.0,10.357142857142858,8.0,10.692307692307692,8.0,10.916666666666666,8.0,11.545454545454545,7.0,11.9,7.0,12.11111111111111,7.0,12.625,7.0,12.857142857142858,7.0,13.5,6.0,13.6,6.0,14.0,6.0,16.666666666666668,6.0,16.5,6.0,31.0,4.0
5.833333333333333,8.0,6.333333333333333,6.0,7.6,0.0,7.842105263157895,10.0,8.0,10.0,7.764705882352941,10.0,7.6875,10.0,7.666666666666667,10.0,7.642857142857143,10.0,8.0,9.0,8.333333333333334,9.0,8.818181818181818,8.0,9.1,8.0,9.666666666666666,7.0,9.75,7.0,9.142857142857142,7.0,10.0,6.0,9.6,6.0,10.0,6.0,11.666666666666666,4.0,11.0,4.0,9.0,2.0
